_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf719a6,1136,1136,2014,Unprovoked,USA,Florida,Surfing,M,50s,Foot bitten
6696ff4dc10ca7acadf719a7,1137,1137,2014,Unprovoked,USA,Florida,Boogie boarding,M,8,Laceration to ankle
6696ff4dc10ca7acadf719a8,1138,1138,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,20,Lower limbs & thigh bitten
6696ff4dc10ca7acadf719a9,1139,1139,2014,Invalid,NaN,NaN,Sea disaster,M,NaN,Shark involvement prior to death not confirmed
6696ff4dc10ca7acadf719aa,1140,1140,2014,Unprovoked,USA,North Carolina,Swimming,M,Teen,Left foot bitten
6696ff4dc10ca7acadf719ab,1141,1141,2014,Unprovoked,REUNION,Saint-Leu,Surfing,M,51,Lacerations to right wrist & calf
6696ff4dc10ca7acadf719ac,1142,1142,2014,Unprovoked,USA,Florida,Standing,M,8,Lacerations to right knee
6696ff4dc10ca7acadf719ad,1143,1143,2014,Unprovoked,SPAIN,Canary Islands,Wading,NaN,NaN,Minor injury
6696ff4dc10ca7acadf719ae,1144,1144,2014,Unprovoked,USA,Hawaii,Swimming,M,61,Lacerations to left foot
6696ff4dc10ca7acadf719af,1145,1145,2014,Unprovoked,USA,Florida,Swimming,M,39,Puncture wounds to foot
6696ff4dc10ca7acadf719b0,1146,1146,2014,Invalid,BAHAMAS,West End,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed"
6696ff4dc10ca7acadf719b1,1147,1147,2014,Unprovoked,USA,North Carolina,Body surfing,M,NaN,Lacerations to hand and wrist
6696ff4dc10ca7acadf719b2,1148,1148,2014,Unprovoked,USA,Florida,Surfing,M,14,Lacerations to foot
6696ff4dc10ca7acadf719b3,1149,1149,2014,Provoked,USA,California,Swimming,M,NaN,PROVOKED INCIDENT Torso bitten by shark hooked by an angler
6696ff4dc10ca7acadf719b4,1150,1150,2014,Unprovoked,USA,California,Surfing,M,NaN,"No injury, surboard bitten"
6696ff4dc10ca7acadf719b5,1151,1151,2014,Unprovoked,USA,South Carolina,Body surfing,M,19,Right hand bitten
6696ff4dc10ca7acadf719b6,1152,1152,2014,Watercraft,ST. MARTIN,NaN,Transatlantic Rowing,M,48,His boat was holed by a shark
6696ff4dc10ca7acadf719b7,1153,1153,2014,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,42,No injury but shark took his pole spear
6696ff4dc10ca7acadf719b8,1154,1154,2014,Unprovoked,AUSTRALIA,South Australia,Surfing,M,NaN,"No injury, surfboard 'attacked'"
6696ff4dc10ca7acadf719b9,1155,1155,2014,Unprovoked,AUSTRALIA,South Australia,Body boarding,M,15,Lacerations to knee
6696ff4dc10ca7acadf719ba,1156,1156,2014,Provoked,AUSTRALIA,Western Australia,Petting a shark,M,NaN,Lacerations to right hand by captive shark PROVOKED INCIDENT
6696ff4dc10ca7acadf719bb,1157,1157,2014,Unprovoked,BRAZIL,NaN,Fishing,M,43,Severe injury to arm
6696ff4dc10ca7acadf719bc,1158,1158,2014,Unprovoked,USA,Delaware,Standing,M,16,"Abrasion to right hand, lacerations to left forearm"
6696ff4dc10ca7acadf719bd,1159,1159,2014,Unprovoked,AUSTRALIA,South Australia,Body boarding,M,39,Minor injury to torso
6696ff4dc10ca7acadf719be,1160,1160,2014,Unprovoked,JAPAN,Atsumi peninsula,Surfing,M,43,Left arm bitten
6696ff4dc10ca7acadf719bf,1161,1161,2014,Unprovoked,USA,Texas,Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder
6696ff4dc10ca7acadf719c0,1162,1162,2014,Unprovoked,USA,Florida,Swimming,F,22,Laceration to right lower leg
6696ff4dc10ca7acadf719c1,1163,1163,2014,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,NaN,Lacerations & puncture wounds to ankle and foot
6696ff4dc10ca7acadf719c2,1164,1164,2014,Unprovoked,USA,Palmyra Atoll,Tagging sharks,F,37,Laceration to left hand
6696ff4dc10ca7acadf719c3,1165,1165,2014,Unprovoked,AUSTRALIA,Queensland,Fell into the water,F,29,Lacerations to legs
6696ff4dc10ca7acadf719c4,1166,1166,2014,Unprovoked,FRANCE,Wallis and Futuna,Scuba diving,M,NaN,Lacerations to left thigh and hip
6696ff4dc10ca7acadf719c5,1167,1167,2014,Provoked,AUSTRALIA,New South Wales,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT
6696ff4dc10ca7acadf719c6,1168,1168,2014,Unprovoked,USA,Florida,Body boarding,F,38,Calf bitten
6696ff4dc10ca7acadf719c7,1169,1169,2014,Unprovoked,AUSTRALIA,South Australia,Surfing,M,35,"No injury, but surfboard severely damaged"
6696ff4dc10ca7acadf719c8,1170,1170,2014,Unprovoked,USA,Florida,Wading,F,44,Lacerations and puncture wounds to right foot
6696ff4dc10ca7acadf719c9,1171,1171,2014,Unprovoked,USA,Georgia,Surfing,M,12,Puncture wounds to right thigh
6696ff4dc10ca7acadf719ca,1172,1172,2014,Invalid,USA,Florida,Diving,M,NaN,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear"
6696ff4dc10ca7acadf719cb,1173,1173,2014,Unprovoked,USA,South Carolina,Swimming,F,40,Lacerations to left foot
6696ff4dc10ca7acadf719cc,1174,1174,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Diving,NaN,NaN,4-inch laceration to arm
6696ff4dc10ca7acadf719cd,1175,1175,2014,Unprovoked,USA,Florida,Surfing,M,23,Laceration to right hand and cuts on fingertips
